metric,increment,resource,mean,stddev,data_points
latency,0,cpu,50939.466666666667,2347.8746663501629,"[50635, 52849, 51299, 50720, 52304, 52885, 46528, 52420, 50492, 48809, 47300, 52367, 52823]"
latency,0,disk,50939.466666666667,2347.8746663501629,"[50635, 52849, 51299, 50720, 52304, 52885, 46528, 52420, 50492, 48809, 47300, 52367, 52823]"
latency,0,network,50939.466666666667,2347.8746663501629,"[50635, 52849, 51299, 50720, 52304, 52885, 46528, 52420, 50492, 48809, 47300, 52367, 52823]"
latency,20,cpu,53629.199999999997,1904.1332831501056,"[51682, 54307, 53133, 52465, 53941, 56448, 54574, 54450, 55717]"
latency,20,disk,50533.900000000001,2732.5620377221085,"[46875, 52615, 51340, 52498, 51516, 47303, 53947, 53756, 49066]"
latency,20,network,52666.800000000003,1462.9405182713342,"[54406, 54048, 50032, 52264, 51651, 53733, 52574, 54053, 53411]"
latency,40,cpu,56891.400000000001,2210.7918581359031,"[52993, 55621, 55991, 56616, 57386, 56468, 55973, 58820, 57039]"
latency,40,disk,50594.0,2065.8062832705295,"[53352, 51148, 52800, 48753, 48084, 52034, 51833, 47263, 51975, 48698]"
latency,40,network,52927.5,1710.5745964441305,"[55647, 49561, 50532, 53788, 52286, 52337, 53682, 54258, 53405, 53779]"
latency,60,cpu,59282.699999999997,1628.7174125673243,"[58980, 59703, 60053, 59455, 59780, 62609, 58835, 56314, 60004, 57094]"
latency,60,disk,51442.199999999997,1663.5920653814142,"[48319, 51666, 50280, 51360, 53554, 51908, 49915, 53614, 50426, 53380]"
latency,60,network,54154.099999999999,1835.0726661361398,"[52889, 53718, 56232, 55906, 54618, 56671, 54043, 53485, 54004, 49975]"
latency,80,cpu,63677.5,1895.1939874324212,"[64907, 64620, 66739, 61820, 61697, 63471, 61367, 61434, 64770, 65950]"
latency,80,disk,50662.599999999999,2850.7217752702563,"[52247, 54740, 51734, 52444, 46978, 46305, 50554, 51652, 46570, 53402]"
latency,80,network,57156.400000000001,1033.2151953973578,"[57961, 56836, 58586, 58488, 56054, 57680, 56075, 55534, 57814, 56536]"
