metric,increment,resource,mean,stddev,data_points
latency,0,cpu,29559.0,371.70472151964924,"[29897, 29672, 29408, 29907, 28911]"
latency,0,disk,29559.0,371.70472151964924,"[29897, 29672, 29408, 29907, 28911]"
latency,0,network,29559.0,371.70472151964924,"[29897, 29672, 29408, 29907, 28911]"
latency,20,cpu,33105.0,1433.5847376419713,"[30589, 32768, 33734, 33523, 34911]"
latency,20,disk,30244.799999999999,531.8520094913622,"[30017, 30573, 31111, 29898, 29625]"
latency,20,network,29730.400000000001,211.18579497684021,"[29574, 29856, 29979, 29401, 29842]"
latency,40,cpu,33237.0,608.97980262074373,"[33173, 32339, 32868, 33798, 34007]"
latency,40,disk,31327.0,555.15727501312631,"[31955, 32003, 30805, 31172, 30700]"
latency,40,network,30262.400000000001,536.91660432510378,"[29896, 30502, 29805, 29895, 31214]"
latency,60,cpu,35889.0,573.98432034333484,"[35953, 35551, 36884, 35902, 35155]"
latency,60,disk,31109.599999999999,717.6198436498255,"[30929, 32315, 30385, 31469, 30450]"
latency,60,network,30425.0,1001.2360361073706,"[29618, 29566, 31998, 31228, 29715]"
latency,80,cpu,38120.800000000003,1278.4292549844124,"[40309, 37256, 38832, 36930, 37277]"
latency,80,disk,31299.400000000001,1045.5200811079621,"[31911, 32284, 30924, 29417, 31961]"
latency,80,network,32183.0,441.23463146040564,"[32189, 31355, 32393, 32321, 32657]"
