metric,increment,resource,mean,stddev,data_points
latency,0,cpu,49674.133333333331,2480.3280123582222,"[46954, 51966, 43476, 51240, 50294, 50940, 52300, 50177, 45997, 51095, 47324, 51529, 50095, 49833, 51892]"
latency,0,disk,49674.133333333331,2480.3280123582222,"[46954, 51966, 43476, 51240, 50294, 50940, 52300, 50177, 45997, 51095, 47324, 51529, 50095, 49833, 51892]"
latency,0,network,49674.133333333331,2480.3280123582222,"[46954, 51966, 43476, 51240, 50294, 50940, 52300, 50177, 45997, 51095, 47324, 51529, 50095, 49833, 51892]"
