metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,3476.5,39.5,"[3437.0, 3516.0]"
latency_90,0,disk,3476.5,39.5,"[3437.0, 3516.0]"
latency_90,0,network,3476.5,39.5,"[3437.0, 3516.0]"
latency_90,20,cpu,3388.5,24.5,"[3364.0, 3413.0]"
latency_90,20,disk,8099.0,4548.0,"[12647.0, 3551.0]"
latency_90,20,network,3283.5,3.5,"[3280.0, 3287.0]"
latency_90,40,cpu,3347.0,54.0,"[3293.0, 3401.0]"
latency_90,40,disk,8710.5,4234.5,"[12945.0, 4476.0]"
latency_90,40,network,3164.5,87.5,"[3077.0, 3252.0]"
latency_90,60,cpu,3216.5,108.5,"[3108.0, 3325.0]"
latency_90,60,disk,10347.5,2750.5,"[13098.0, 7597.0]"
latency_90,60,network,3246.5,281.5,"[3528.0, 2965.0]"
latency_90,80,cpu,3477.0,139.0,"[3616.0, 3338.0]"
latency_90,80,disk,11650.0,1746.0,"[13396.0, 9904.0]"
latency_90,80,network,3309.0,42.0,"[3351.0, 3267.0]"
latency,0,cpu,31302.535,53.244999999998981,"[31249.29, 31355.78]"
latency,0,disk,31302.535,53.244999999998981,"[31249.29, 31355.78]"
latency,0,network,31302.535,53.244999999998981,"[31249.29, 31355.78]"
latency,20,cpu,30607.870000000003,252.74999999999818,"[30355.120000000003, 30860.62]"
latency,20,disk,37609.960000000006,3952.6499999999978,"[41562.61, 33657.310000000005]"
latency,20,network,30339.739999999998,444.80999999999949,"[30784.55, 29894.93]"
latency,40,cpu,30537.549999999999,593.25,"[29944.3, 31130.8]"
latency,40,disk,43268.169999999998,3692.6599999999962,"[46960.829999999994, 39575.51]"
latency,40,network,29830.465000000004,886.19500000000153,"[28944.27, 30716.660000000003]"
latency,60,cpu,29935.239999999998,553.98999999999796,"[29381.25, 30489.229999999996]"
latency,60,disk,73364.839999999997,5573.9300000000003,"[78938.77, 67790.91]"
latency,60,network,29983.110000000001,1355.3199999999997,"[31338.43, 28627.79]"
latency,80,cpu,30794.785,314.43500000000131,"[31109.22, 30480.35]"
latency,80,disk,99027.154999999999,2649.5249999999942,"[101676.68, 96377.63]"
latency,80,network,30577.434999999998,11.775000000001455,"[30565.659999999996, 30589.21]"
rps,0,cpu,0.32000000000000001,0.0,"[0.32, 0.32]"
rps,0,disk,0.32000000000000001,0.0,"[0.32, 0.32]"
rps,0,network,0.32000000000000001,0.0,"[0.32, 0.32]"
rps,20,cpu,0.32500000000000001,0.0050000000000000044,"[0.33, 0.32]"
rps,20,disk,0.27000000000000002,0.029999999999999999,"[0.24, 0.3]"
rps,20,network,0.32500000000000001,0.0050000000000000044,"[0.32, 0.33]"
rps,40,cpu,0.32500000000000001,0.0050000000000000044,"[0.33, 0.32]"
rps,40,disk,0.22999999999999998,0.020000000000000004,"[0.21, 0.25]"
rps,40,network,0.33999999999999997,0.0099999999999999811,"[0.35, 0.33]"
rps,60,cpu,0.33500000000000002,0.0050000000000000044,"[0.34, 0.33]"
rps,60,disk,0.14000000000000001,0.009999999999999995,"[0.13, 0.15]"
rps,60,network,0.33499999999999996,0.014999999999999986,"[0.32, 0.35]"
rps,80,cpu,0.32500000000000001,0.0050000000000000044,"[0.32, 0.33]"
rps,80,disk,0.10000000000000001,0.0,"[0.1, 0.1]"
rps,80,network,0.33000000000000002,0.0,"[0.33, 0.33]"
latency_99,0,cpu,3476.5,39.5,"[3437.0, 3516.0]"
latency_99,0,disk,3476.5,39.5,"[3437.0, 3516.0]"
latency_99,0,network,3476.5,39.5,"[3437.0, 3516.0]"
latency_99,20,cpu,3388.5,24.5,"[3364.0, 3413.0]"
latency_99,20,disk,8099.0,4548.0,"[12647.0, 3551.0]"
latency_99,20,network,3283.5,3.5,"[3280.0, 3287.0]"
latency_99,40,cpu,3347.0,54.0,"[3293.0, 3401.0]"
latency_99,40,disk,8710.5,4234.5,"[12945.0, 4476.0]"
latency_99,40,network,3164.5,87.5,"[3077.0, 3252.0]"
latency_99,60,cpu,3216.5,108.5,"[3108.0, 3325.0]"
latency_99,60,disk,10347.5,2750.5,"[13098.0, 7597.0]"
latency_99,60,network,3246.5,281.5,"[3528.0, 2965.0]"
latency_99,80,cpu,3477.0,139.0,"[3616.0, 3338.0]"
latency_99,80,disk,11650.0,1746.0,"[13396.0, 9904.0]"
latency_99,80,network,3309.0,42.0,"[3351.0, 3267.0]"
latency_50,0,cpu,3171.5,0.5,"[3171.0, 3172.0]"
latency_50,0,disk,3171.5,0.5,"[3171.0, 3172.0]"
latency_50,0,network,3171.5,0.5,"[3171.0, 3172.0]"
latency_50,20,cpu,3082.0,14.0,"[3068.0, 3096.0]"
latency_50,20,disk,3337.5,69.5,"[3268.0, 3407.0]"
latency_50,20,network,3021.0,67.0,"[3088.0, 2954.0]"
latency_50,40,cpu,3034.0,62.0,"[2972.0, 3096.0]"
latency_50,40,disk,3908.0,120.0,"[3788.0, 4028.0]"
latency_50,40,network,2989.5,92.5,"[2897.0, 3082.0]"
latency_50,60,cpu,2993.5,65.5,"[2928.0, 3059.0]"
latency_50,60,disk,7331.0,119.0,"[7450.0, 7212.0]"
latency_50,60,network,3004.5,150.5,"[3155.0, 2854.0]"
latency_50,80,cpu,3108.5,30.5,"[3078.0, 3139.0]"
latency_50,80,disk,9856.5,141.5,"[9998.0, 9715.0]"
latency_50,80,network,3054.5,25.5,"[3029.0, 3080.0]"
percent requests within 60,0,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,0,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,0,network,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,20,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,20,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,20,network,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,40,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,40,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,40,network,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,60,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,60,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,60,network,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,80,cpu,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,80,disk,0.0,0.0,"[0.0, 0.0]"
percent requests within 60,80,network,0.0,0.0,"[0.0, 0.0]"
