metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,1110.7,24.021032450750322,"[1101.0, 1111.0, 1131.0, 1094.0, 1077.0, 1133.0, 1079.0, 1122.0, 1157.0, 1102.0]"
latency_90,0,disk,1110.7,24.021032450750322,"[1101.0, 1111.0, 1131.0, 1094.0, 1077.0, 1133.0, 1079.0, 1122.0, 1157.0, 1102.0]"
latency_90,0,network,1110.7,24.021032450750322,"[1101.0, 1111.0, 1131.0, 1094.0, 1077.0, 1133.0, 1079.0, 1122.0, 1157.0, 1102.0]"
latency_90,20,cpu,1136.9000000000001,44.940961271428094,"[1069.0, 1136.0, 1101.0, 1171.0, 1168.0, 1126.0, 1215.0, 1102.0, 1092.0, 1189.0]"
latency_90,20,disk,1115.3,44.868808765109861,"[1071.0, 1060.0, 1155.0, 1080.0, 1090.0, 1195.0, 1125.0, 1110.0, 1086.0, 1181.0]"
latency_90,20,network,1719.5999999999999,10.734989520255715,"[1712.0, 1715.0, 1721.0, 1713.0, 1717.0, 1704.0, 1746.0, 1727.0, 1717.0, 1724.0]"
latency_90,40,cpu,1129.2,47.868152251784274,"[1176.0, 1112.0, 1104.0, 1241.0, 1101.0, 1137.0, 1087.0, 1068.0, 1154.0, 1112.0]"
latency_90,40,disk,1113.2,58.285161061800281,"[1060.0, 1065.0, 1146.0, 1075.0, 1178.0, 1186.0, 1062.0, 1216.0, 1082.0, 1062.0]"
latency_90,40,network,1923.0,17.181385275931625,"[1923.0, 1908.0, 1916.0, 1947.0, 1888.0, 1918.0, 1915.0, 1941.0, 1943.0, 1931.0]"
latency_90,60,cpu,1119.8,37.236541192758494,"[1174.0, 1057.0, 1178.0, 1108.0, 1102.0, 1106.0, 1092.0, 1122.0, 1161.0, 1098.0]"
latency_90,60,disk,1115.9000000000001,42.617953963089313,"[1099.0, 1140.0, 1185.0, 1057.0, 1177.0, 1111.0, 1054.0, 1140.0, 1087.0, 1109.0]"
latency_90,60,network,2182.6999999999998,26.892564027998521,"[2174.0, 2190.0, 2179.0, 2177.0, 2191.0, 2181.0, 2234.0, 2118.0, 2189.0, 2194.0]"
latency_90,80,cpu,1116.9000000000001,28.679086456859118,"[1074.0, 1148.0, 1103.0, 1111.0, 1094.0, 1158.0, 1149.0, 1103.0, 1144.0, 1085.0]"
latency_90,80,disk,1124.0,44.919928762187503,"[1096.0, 1120.0, 1154.0, 1051.0, 1098.0, 1168.0, 1134.0, 1189.0, 1170.0, 1060.0]"
latency_90,80,network,3332.6999999999998,53.80157990245268,"[3397.0, 3351.0, 3404.0, 3339.0, 3393.0, 3283.0, 3224.0, 3304.0, 3311.0, 3321.0]"
latency,0,cpu,328543.0,1.7464249196572981,"[328547.0, 328541.5, 328544.0, 328542.0, 328540.5, 328543.5, 328541.5, 328544.0, 328542.5, 328543.5]"
latency,0,disk,328543.0,1.7464249196572981,"[328547.0, 328541.5, 328544.0, 328542.0, 328540.5, 328543.5, 328541.5, 328544.0, 328542.5, 328543.5]"
latency,0,network,328543.0,1.7464249196572981,"[328547.0, 328541.5, 328544.0, 328542.0, 328540.5, 328543.5, 328541.5, 328544.0, 328542.5, 328543.5]"
latency,20,cpu,328584.75,119.07565872167157,"[328541.0, 328941.5, 328544.0, 328543.5, 328563.0, 328542.0, 328543.0, 328541.5, 328542.0, 328546.0]"
latency,20,disk,328630.20000000001,258.94721469828556,"[328551.5, 328544.0, 328544.5, 329407.0, 328542.5, 328543.0, 328542.0, 328543.0, 328541.5, 328543.0]"
latency,20,network,662236.30000000005,6091.9320711905511,"[676345.5, 655852.0, 656930.0, 666163.0, 657323.5, 661275.5, 658506.5, 661758.0, 659547.5, 668661.5]"
latency,40,cpu,328549.79999999999,18.108285396469761,"[328551.5, 328543.5, 328543.5, 328543.0, 328543.0, 328541.5, 328603.5, 328544.5, 328541.0, 328543.0]"
latency,40,disk,328626.0,246.01910494918886,"[328553.0, 328543.5, 328542.0, 328543.5, 328543.0, 328543.0, 328542.0, 329364.0, 328542.5, 328543.5]"
latency,40,network,754369.55000000005,2068.3785249562034,"[754141.5, 750684.5, 756142.0, 756771.0, 756061.0, 755710.5, 751089.5, 752635.5, 755640.0, 754820.0]"
latency,60,cpu,328641.79999999999,264.21139263854616,"[328579.0, 328551.5, 328544.5, 328552.0, 328578.0, 328547.0, 328542.5, 328545.0, 328545.0, 329433.5]"
latency,60,disk,328543.70000000001,1.2288205727444508,"[328546.5, 328545.0, 328542.5, 328544.0, 328542.0, 328543.5, 328543.0, 328543.0, 328543.5, 328544.0]"
latency,60,network,885999.75,1629.4377289421036,"[886457.5, 887223.0, 883680.5, 884872.5, 887312.5, 884363.0, 886360.0, 884233.5, 889236.5, 886258.5]"
latency,80,cpu,328545.70000000001,3.4365680554879163,"[328543.0, 328543.0, 328544.5, 328549.0, 328545.5, 328543.5, 328543.5, 328551.0, 328552.0, 328542.0]"
latency,80,disk,328558.95000000001,47.236347233883357,"[328549.5, 328541.5, 328542.5, 328541.0, 328543.5, 328543.5, 328542.5, 328542.0, 328543.0, 328700.5]"
latency,80,network,1414734.95,735.89830989070776,"[1414905.5, 1414537.0, 1416560.5, 1413981.5, 1414563.5, 1414740.0, 1413953.5, 1415425.0, 1414239.0, 1414444.0]"
rps,0,cpu,15.220000000000002,1.7763568394002505e-15,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,0,disk,15.220000000000002,1.7763568394002505e-15,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,0,network,15.220000000000002,1.7763568394002505e-15,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,20,cpu,15.218,0.0060000000000004043,"[15.22, 15.2, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,20,disk,15.215999999999999,0.012000000000000276,"[15.22, 15.22, 15.22, 15.18, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,20,network,7.5510000000000002,0.068476273263080062,"[7.39, 7.62, 7.61, 7.51, 7.61, 7.56, 7.59, 7.56, 7.58, 7.48]"
rps,40,cpu,15.220000000000002,1.7763568394002505e-15,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,40,disk,15.215999999999999,0.012000000000000276,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.18, 15.22, 15.22]"
rps,40,network,6.6280000000000001,0.018330302779823279,"[6.63, 6.66, 6.61, 6.61, 6.61, 6.62, 6.66, 6.64, 6.62, 6.62]"
rps,60,cpu,15.216000000000003,0.012000000000000278,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.18]"
rps,60,disk,15.220000000000002,1.7763568394002505e-15,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,60,network,5.6419999999999995,0.010770329614269124,"[5.64, 5.64, 5.66, 5.65, 5.63, 5.65, 5.64, 5.65, 5.62, 5.64]"
rps,80,cpu,15.220000000000002,1.7763568394002505e-15,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22]"
rps,80,disk,15.219000000000003,0.0029999999999999363,"[15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.22, 15.21]"
rps,80,network,3.5329999999999999,0.0045825756949559454,"[3.53, 3.53, 3.53, 3.54, 3.53, 3.53, 3.54, 3.53, 3.54, 3.53]"
latency_99,0,cpu,1484.0,58.414039408347712,"[1414.0, 1521.0, 1417.0, 1535.0, 1508.0, 1428.0, 1399.0, 1559.0, 1535.0, 1524.0]"
latency_99,0,disk,1484.0,58.414039408347712,"[1414.0, 1521.0, 1417.0, 1535.0, 1508.0, 1428.0, 1399.0, 1559.0, 1535.0, 1524.0]"
latency_99,0,network,1484.0,58.414039408347712,"[1414.0, 1521.0, 1417.0, 1535.0, 1508.0, 1428.0, 1399.0, 1559.0, 1535.0, 1524.0]"
