metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,3386.0,0.0,[3386.0]
latency_90,0,disk,3386.0,0.0,[3386.0]
latency_90,0,network,3386.0,0.0,[3386.0]
latency,0,cpu,2453793.0,0.0,[2453793.0]
latency,0,disk,2453793.0,0.0,[2453793.0]
latency,0,network,2453793.0,0.0,[2453793.0]
rps,0,cpu,40.75,0.0,[40.75]
rps,0,disk,40.75,0.0,[40.75]
rps,0,network,40.75,0.0,[40.75]
latency_50,0,cpu,2059.0,0.0,[2059.0]
latency_50,0,disk,2059.0,0.0,[2059.0]
latency_50,0,network,2059.0,0.0,[2059.0]
latency_99,0,cpu,4525.0,0.0,[4525.0]
latency_99,0,disk,4525.0,0.0,[4525.0]
latency_99,0,network,4525.0,0.0,[4525.0]
