metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,3560.0,0.0,[3560.0]
latency_90,0,disk,3560.0,0.0,[3560.0]
latency_90,0,network,3560.0,0.0,[3560.0]
latency_90,20,cpu,3522.0,0.0,[3522.0]
latency_90,20,disk,12991.0,0.0,[12991.0]
latency_90,20,network,3514.0,0.0,[3514.0]
latency_90,40,cpu,3588.0,0.0,[3588.0]
latency_90,40,disk,13038.0,0.0,[13038.0]
latency_90,40,network,3817.0,0.0,[3817.0]
latency,0,cpu,32950.770000000004,0.0,[32950.770000000004]
latency,0,disk,32950.770000000004,0.0,[32950.770000000004]
latency,0,network,32950.770000000004,0.0,[32950.770000000004]
latency,20,cpu,32471.039999999997,0.0,[32471.039999999997]
latency,20,disk,43567.510000000002,0.0,[43567.51]
latency,20,network,31765.100000000002,0.0,[31765.100000000002]
latency,40,cpu,32183.159999999996,0.0,[32183.159999999996]
latency,40,disk,42170.68,0.0,[42170.68]
latency,40,network,34798.370000000003,0.0,[34798.37]
rps,0,cpu,0.29999999999999999,0.0,[0.3]
rps,0,disk,0.29999999999999999,0.0,[0.3]
rps,0,network,0.29999999999999999,0.0,[0.3]
rps,20,cpu,0.31,0.0,[0.31]
rps,20,disk,0.23000000000000001,0.0,[0.23]
rps,20,network,0.31,0.0,[0.31]
rps,40,cpu,0.31,0.0,[0.31]
rps,40,disk,0.23999999999999999,0.0,[0.24]
rps,40,network,0.28999999999999998,0.0,[0.29]
latency_99,0,cpu,3560.0,0.0,[3560.0]
latency_99,0,disk,3560.0,0.0,[3560.0]
latency_99,0,network,3560.0,0.0,[3560.0]
latency_99,20,cpu,3522.0,0.0,[3522.0]
latency_99,20,disk,12991.0,0.0,[12991.0]
latency_99,20,network,3514.0,0.0,[3514.0]
latency_99,40,cpu,3588.0,0.0,[3588.0]
latency_99,40,disk,13038.0,0.0,[13038.0]
latency_99,40,network,3817.0,0.0,[3817.0]
latency_50,0,cpu,3284.0,0.0,[3284.0]
latency_50,0,disk,3284.0,0.0,[3284.0]
latency_50,0,network,3284.0,0.0,[3284.0]
latency_50,20,cpu,3262.0,0.0,[3262.0]
latency_50,20,disk,3456.0,0.0,[3456.0]
latency_50,20,network,3201.0,0.0,[3201.0]
latency_50,40,cpu,3188.0,0.0,[3188.0]
latency_50,40,disk,3271.0,0.0,[3271.0]
latency_50,40,network,3433.0,0.0,[3433.0]
percent requests within 60,0,cpu,0.0,0.0,[0.0]
percent requests within 60,0,disk,0.0,0.0,[0.0]
percent requests within 60,0,network,0.0,0.0,[0.0]
percent requests within 60,20,cpu,0.0,0.0,[0.0]
percent requests within 60,20,disk,0.0,0.0,[0.0]
percent requests within 60,20,network,0.0,0.0,[0.0]
percent requests within 60,40,cpu,0.0,0.0,[0.0]
percent requests within 60,40,disk,0.0,0.0,[0.0]
percent requests within 60,40,network,0.0,0.0,[0.0]
