metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,3564.0,0.0,[3564.0]
latency_90,0,disk,3564.0,0.0,[3564.0]
latency_90,0,network,3564.0,0.0,[3564.0]
latency_90,20,cpu,3556.0,0.0,[3556.0]
latency_90,20,disk,13209.0,0.0,[13209.0]
latency_90,20,network,3688.0,0.0,[3688.0]
latency_90,40,cpu,3172.0,0.0,[3172.0]
latency_90,40,disk,13075.0,0.0,[13075.0]
latency_90,40,network,3531.0,0.0,[3531.0]
latency,0,cpu,32752.040000000001,0.0,[32752.04]
latency,0,disk,32752.040000000001,0.0,[32752.04]
latency,0,network,32752.040000000001,0.0,[32752.04]
latency,20,cpu,31917.829999999998,0.0,[31917.829999999998]
latency,20,disk,46609.589999999997,0.0,[46609.59]
latency,20,network,33971.93,0.0,[33971.93]
latency,40,cpu,29842.25,0.0,[29842.25]
latency,40,disk,46786.620000000003,0.0,[46786.62]
latency,40,network,31508.989999999998,0.0,[31508.989999999998]
rps,0,cpu,0.31,0.0,[0.31]
rps,0,disk,0.31,0.0,[0.31]
rps,0,network,0.31,0.0,[0.31]
rps,20,cpu,0.31,0.0,[0.31]
rps,20,disk,0.20999999999999999,0.0,[0.21]
rps,20,network,0.28999999999999998,0.0,[0.29]
rps,40,cpu,0.34000000000000002,0.0,[0.34]
rps,40,disk,0.20999999999999999,0.0,[0.21]
rps,40,network,0.32000000000000001,0.0,[0.32]
latency_99,0,cpu,3564.0,0.0,[3564.0]
latency_99,0,disk,3564.0,0.0,[3564.0]
latency_99,0,network,3564.0,0.0,[3564.0]
latency_99,20,cpu,3556.0,0.0,[3556.0]
latency_99,20,disk,13209.0,0.0,[13209.0]
latency_99,20,network,3688.0,0.0,[3688.0]
latency_99,40,cpu,3172.0,0.0,[3172.0]
latency_99,40,disk,13075.0,0.0,[13075.0]
latency_99,40,network,3531.0,0.0,[3531.0]
latency_50,0,cpu,3316.0,0.0,[3316.0]
latency_50,0,disk,3316.0,0.0,[3316.0]
latency_50,0,network,3316.0,0.0,[3316.0]
latency_50,20,cpu,3192.0,0.0,[3192.0]
latency_50,20,disk,3706.0,0.0,[3706.0]
latency_50,20,network,3400.0,0.0,[3400.0]
latency_50,40,cpu,3013.0,0.0,[3013.0]
latency_50,40,disk,3774.0,0.0,[3774.0]
latency_50,40,network,3074.0,0.0,[3074.0]
percent requests within 60,0,cpu,0.0,0.0,[0.0]
percent requests within 60,0,disk,0.0,0.0,[0.0]
percent requests within 60,0,network,0.0,0.0,[0.0]
percent requests within 60,20,cpu,0.0,0.0,[0.0]
percent requests within 60,20,disk,0.0,0.0,[0.0]
percent requests within 60,20,network,0.0,0.0,[0.0]
percent requests within 60,40,cpu,0.0,0.0,[0.0]
percent requests within 60,40,disk,0.0,0.0,[0.0]
percent requests within 60,40,network,0.0,0.0,[0.0]
