metric,increment,resource,mean,stddev,data_points
latency,0,cpu,66815.875,2441.6046689370087,"[64909, 66075,65215, 67649, 66718, 62438, 63420, 65275, 65233, 63438, 63969, 67977, 65304, 66305]"
latency,0,disk,66815.875,2441.6046689370087,"[64909, 66075,65215, 67649, 66718, 62438, 63420, 65275, 65233, 63438, 63969, 67977, 65304, 66305]"
latency,0,network,66815.875,2441.6046689370087,"[64909, 66075,65215, 67649, 66718, 62438, 63420, 65275, 65233, 63438, 63969, 67977, 65304, 66305]"
latency,20,cpu,67984.0,1773.7701373064099,"[70788, 66265, 69692, 65513, 66105, 67870, 69261, 68378]"
latency,20,network,41084.0,32206.141169037932,"[62780, 77636, 66142, 61976, 60134, 65000, 65000, 65000]"
latency,20,disk,41084.0,32206.141169037932,"[62780, 77636, 66142, 61976, 60134, 65000, 65000, 65000]"
latency,40,cpu,71129.0,4738.2635004820067,"[83076, 70750, 69710, 69788, 68186, 66850, 71868, 68804]"
latency,40,disk,66534.375,2368.6487148530487,"[71956, 64558, 64620, 65816, 64302, 66473, 66463, 68087]"
latency,40,network,63888.75,2554.591295589179,"[64899, 63596, 67842, 63495, 67545, 62005, 61091, 60637]"
latency,60,cpu,74284.125,1368.6484608455892,"[73504, 74820, 74437, 77375, 74397, 73824, 73579, 72337]"
latency,60,disk,68460.375,3947.0240351909438,"[69904, 66213, 68062, 64783, 68744, 77946, 65066, 66965]"
latency,60,network,64498.875,2895.4002502892413,"[66471, 63861, 64033, 63819, 69296, 66943, 59125, 62443]"
latency,80,cpu,80181.625,638.94814685935194,"[79861, 80044, 79800, 79720, 81004, 81436, 80137, 79451]"
latency,80,disk,66890.375,1945.9212431069764,"[66241, 71748, 67464, 65383, 66574, 65991, 65293, 66429]"
latency,80,network,68031.125,2420.4304595205786,"[63552, 69369, 68538, 68696, 71043, 69225, 69292, 64534]"
