metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,805.0,31.157663583779833,"[831.0, 826.0, 769.0, 834.0, 765.0]"
latency_90,0,disk,805.0,31.157663583779833,"[831.0, 826.0, 769.0, 834.0, 765.0]"
latency_90,0,network,805.0,31.157663583779833,"[831.0, 826.0, 769.0, 834.0, 765.0]"
latency,0,cpu,271962.0,8090.5482199910366,"[279396.0, 282026.5, 265735.0, 272175.5, 260476.99999999997]"
latency,0,disk,271962.0,8090.5482199910366,"[279396.0, 282026.5, 265735.0, 272175.5, 260476.99999999997]"
latency,0,network,271962.0,8090.5482199910366,"[279396.0, 282026.5, 265735.0, 272175.5, 260476.99999999997]"
rps,0,cpu,184.01600000000002,5.4986492886889984,"[178.96, 177.29, 188.16, 183.71, 191.96]"
rps,0,disk,184.01600000000002,5.4986492886889984,"[178.96, 177.29, 188.16, 183.71, 191.96]"
rps,0,network,184.01600000000002,5.4986492886889984,"[178.96, 177.29, 188.16, 183.71, 191.96]"
latency_50,0,cpu,427.60000000000002,9.0686272390037068,"[444.0, 425.0, 429.0, 417.0, 423.0]"
latency_50,0,disk,427.60000000000002,9.0686272390037068,"[444.0, 425.0, 429.0, 417.0, 423.0]"
latency_50,0,network,427.60000000000002,9.0686272390037068,"[444.0, 425.0, 429.0, 417.0, 423.0]"
latency_99,0,cpu,1031.4000000000001,26.203816515919964,"[1029.0, 1059.0, 992.0, 1061.0, 1016.0]"
latency_99,0,disk,1031.4000000000001,26.203816515919964,"[1029.0, 1059.0, 992.0, 1061.0, 1016.0]"
latency_99,0,network,1031.4000000000001,26.203816515919964,"[1029.0, 1059.0, 992.0, 1061.0, 1016.0]"
