metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,1.0,0.0,[1.0]
latency_90,0,disk,1.0,0.0,[1.0]
latency_90,0,network,1.0,0.0,[1.0]
latency,0,cpu,8450.0,0.0,[8450.0]
latency,0,disk,8450.0,0.0,[8450.0]
latency,0,network,8450.0,0.0,[8450.0]
rps,0,cpu,1182.73,0.0,[1182.73]
rps,0,disk,1182.73,0.0,[1182.73]
rps,0,network,1182.73,0.0,[1182.73]
latency_99,0,cpu,1.0,0.0,[1.0]
latency_99,0,disk,1.0,0.0,[1.0]
latency_99,0,network,1.0,0.0,[1.0]
latency_50,0,cpu,1.0,0.0,[1.0]
latency_50,0,disk,1.0,0.0,[1.0]
latency_50,0,network,1.0,0.0,[1.0]
percent requests within 60,0,cpu,0.0,0.0,[0]
percent requests within 60,0,disk,0.0,0.0,[0]
percent requests within 60,0,network,0.0,0.0,[0]
