metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency_90,0,disk,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency_90,0,network,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency,0,cpu,8532.0,48.744230427815765,"[8470.0, 8500.0, 8520.0, 8610.0, 8530.0, 8560.0, 8550.0, 8560.0, 8580.0, 8440.0]"
latency,0,disk,8532.0,48.744230427815765,"[8470.0, 8500.0, 8520.0, 8610.0, 8530.0, 8560.0, 8550.0, 8560.0, 8580.0, 8440.0]"
latency,0,network,8532.0,48.744230427815765,"[8470.0, 8500.0, 8520.0, 8610.0, 8530.0, 8560.0, 8550.0, 8560.0, 8580.0, 8440.0]"
rps,0,cpu,1171.9360000000001,6.6456906337866899,"[1179.96, 1176.85, 1173.27, 1161.54, 1172.17, 1168.52, 1169.49, 1167.69, 1165.2, 1184.67]"
rps,0,disk,1171.9360000000001,6.6456906337866899,"[1179.96, 1176.85, 1173.27, 1161.54, 1172.17, 1168.52, 1169.49, 1167.69, 1165.2, 1184.67]"
rps,0,network,1171.9360000000001,6.6456906337866899,"[1179.96, 1176.85, 1173.27, 1161.54, 1172.17, 1168.52, 1169.49, 1167.69, 1165.2, 1184.67]"
latency_99,0,cpu,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency_99,0,disk,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency_99,0,network,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency_50,0,cpu,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency_50,0,disk,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
latency_50,0,network,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
percent requests within 60,0,cpu,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
percent requests within 60,0,disk,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
percent requests within 60,0,network,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
