metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,962.60000000000002,32.355937116187292,"[984.0, 1016.0, 1000.0, 926.0, 988.0, 937.0, 941.0, 978.0, 915.0, 916.0, 929.0, 964.0, 956.0, 996.0, 993.0]"
latency_90,0,disk,962.60000000000002,32.355937116187292,"[984.0, 1016.0, 1000.0, 926.0, 988.0, 937.0, 941.0, 978.0, 915.0, 916.0, 929.0, 964.0, 956.0, 996.0, 993.0]"
latency_90,0,network,962.60000000000002,32.355937116187292,"[984.0, 1016.0, 1000.0, 926.0, 988.0, 937.0, 941.0, 978.0, 915.0, 916.0, 929.0, 964.0, 956.0, 996.0, 993.0]"
latency_90,20,cpu,1412.2,70.903878596308118,"[1366.0, 1313.0, 1436.0, 1422.0, 1524.0]"
latency_90,20,disk,1232.4000000000001,99.564250612355849,"[1246.0, 1046.0, 1235.0, 1309.0, 1326.0]"
latency_90,20,network,1244.2,115.20833303194696,"[1238.0, 1124.0, 1210.0, 1187.0, 1462.0]"
latency_90,40,cpu,1456.4000000000001,205.80631671549833,"[1149.0, 1504.0, 1594.0, 1307.0, 1728.0]"
latency_90,40,disk,1134.4000000000001,147.74112494495228,"[1042.0, 1156.0, 1009.0, 1413.0, 1052.0]"
latency_90,40,network,968.0,54.460995216760409,"[982.0, 916.0, 939.0, 935.0, 1068.0]"
latency_90,60,cpu,1924.0,124.08384262263964,"[1827.0, 1982.0, 2035.0, 1731.0, 2045.0]"
latency_90,60,disk,955.79999999999995,33.972930400540953,"[988.0, 919.0, 915.0, 960.0, 997.0]"
latency_90,60,network,939.0,19.339079605813716,"[923.0, 945.0, 931.0, 974.0, 922.0]"
latency_90,80,cpu,2678.4000000000001,143.32145687230508,"[2841.0, 2672.0, 2454.0, 2604.0, 2821.0]"
latency_90,80,disk,1220.2,48.001666637732491,"[1200.0, 1305.0, 1230.0, 1160.0, 1206.0]"
latency_90,80,network,1186.2,94.767927063959775,"[1342.0, 1140.0, 1232.0, 1155.0, 1062.0]"
latency,0,cpu,329945.13333333336,12918.231640420276,"[366290.5, 340184.5, 345106.0, 333574.0, 333088.0, 314228.5, 317817.0, 324853.5, 327710.5, 319292.5, 314485.5, 324099.0, 329000.0, 327293.5, 332154.0]"
latency,0,disk,329945.13333333336,12918.231640420276,"[366290.5, 340184.5, 345106.0, 333574.0, 333088.0, 314228.5, 317817.0, 324853.5, 327710.5, 319292.5, 314485.5, 324099.0, 329000.0, 327293.5, 332154.0]"
