metric,increment,resource,mean,stddev,data_points
latency,0,cpu,2587.0659999999998,0.0,[2587.066]
latency,0,disk,2587.0659999999998,0.0,[2587.066]
latency,0,network,2587.0659999999998,0.0,[2587.066]
latency,20,cpu,2568.3850000000002,0.0,[2568.385]
latency,20,disk,11638.484,0.0,[11638.484]
latency,20,network,2572.998,0.0,[2572.998]
rps,0,cpu,0.39000000000000001,0.0,[0.39]
rps,0,disk,0.39000000000000001,0.0,[0.39]
rps,0,network,0.39000000000000001,0.0,[0.39]
rps,20,cpu,0.39000000000000001,0.0,[0.39]
rps,20,disk,0.089999999999999997,0.0,[0.09]
rps,20,network,0.39000000000000001,0.0,[0.39]
latency_50,0,cpu,0.0,0.0,[0]
latency_50,0,disk,0.0,0.0,[0]
latency_50,0,network,0.0,0.0,[0]
latency_50,20,cpu,0.0,0.0,[0]
latency_50,20,disk,0.0,0.0,[0]
latency_50,20,network,0.0,0.0,[0]
percent requests within 100,0,cpu,0.0,0.0,[0.0]
percent requests within 100,0,disk,0.0,0.0,[0.0]
percent requests within 100,0,network,0.0,0.0,[0.0]
percent requests within 100,20,cpu,0.0,0.0,[0.0]
percent requests within 100,20,disk,0.0,0.0,[0.0]
percent requests within 100,20,network,0.0,0.0,[0.0]
