metric,increment,resource,mean,stddev,data_points
latency,0,cpu,6929385.0,251730.92782771066,"[6968949.999999999, 6946850.000000001, 6945399.999999999, 6957200.0, 6948550.0, 6945999.999999999, 6994050.0, 7365600.000000001, 6269700.0, 6951550.0]"
latency,0,disk,6929385.0,251730.92782771066,"[6968949.999999999, 6946850.000000001, 6945399.999999999, 6957200.0, 6948550.0, 6945999.999999999, 6994050.0, 7365600.000000001, 6269700.0, 6951550.0]"
latency,0,network,6929385.0,251730.92782771066,"[6968949.999999999, 6946850.000000001, 6945399.999999999, 6957200.0, 6948550.0, 6945999.999999999, 6994050.0, 7365600.000000001, 6269700.0, 6951550.0]"
latency,20,cpu,7094435.0,447052.83694995148,"[7939749.999999999, 6417100.000000001, 6943850.000000001, 6948999.999999999, 6955600.0, 6938849.999999999, 6948150.0, 6984900.0, 7920650.000000001, 6946500.0]"
latency,20,disk,7221185.0,792097.02469142003,"[6936900.0, 6944550.0, 6948450.0, 6975850.0, 6940949.999999999, 7947350.0, 6967800.0, 9315450.0, 6303550.0, 6931000.0]"
latency,20,network,7018405.0,580515.36131699395,"[6961300.0, 6947199.999999999, 6953500.0, 6004450.0, 8537300.0, 6936000.0, 6939000.0, 6986050.0, 6984500.0, 6934750.0]"
latency,40,cpu,7318900.0,711077.58542932582,"[7934250.0, 7276100.0, 8886250.0, 6926500.0, 6918349.999999999, 6961950.0, 6945800.0, 8053350.0, 6338500.0, 6947950.0]"
latency,40,disk,6866490.0,174397.10118003667,"[6929300.000000001, 6734050.000000001, 6954200.0, 6949299.999999999, 6378700.0, 6945450.0, 6952000.0, 6939250.0, 6933350.0, 6949299.999999999]"
latency,40,network,7166590.0,600383.27624943038,"[6946100.0, 6981300.0, 8144650.0, 6950400.000000001, 7942500.0, 6342350.0, 6946550.000000001, 7982150.0, 6474750.0, 6955150.0]"
latency,60,cpu,8944470.0,2893165.8057567314,"[6972799.999999999, 13379600.0, 13331850.0, 7184600.0, 7064149.999999999, 6967449.999999999, 6882850.000000001, 7580100.0, 6736050.0, 13345249.999999998]"
latency,60,disk,7029460.0,317238.0658117811,"[6943700.0, 7947100.0, 6951900.000000001, 6995000.0, 6683250.0, 6944150.000000001, 6955100.0, 6993150.0, 6938549.999999999, 6942700.000000001]"
latency,60,network,6776965.0,543847.21570032905,"[6480249.999999999, 7019600.0, 7936150.000000001, 6255850.0, 6973950.000000001, 6480000.0, 6948699.999999999, 6941400.0, 5785650.0, 6948099.999999999]"
latency,80,cpu,11029125.0,2491642.8784288089,"[9032100.0, 7933700.0, 9944400.0, 13388300.000000002, 13346799.999999998, 13596150.0, 7692100.000000001, 13596300.0, 13334200.000000002, 8427200.0]"
latency,80,disk,7181745.0,685094.90782299638,"[6854500.0, 8875700.0, 6978400.000000001, 6950950.0, 6990150.0, 7991650.0, 6931100.000000001, 6959600.0, 6298900.0, 6986499.999999999]"
latency,80,network,7344200.0,779740.33209780802,"[8496950.0, 6954100.0, 6955300.0, 6956850.0, 6992449.999999999, 6951250.0, 6973050.000000001, 6985500.0, 9238450.0, 6938100.0]"
rps,0,cpu,3612.8419999999996,138.45998987433157,"[3587.33, 3598.75, 3599.5, 3593.4, 3597.86, 3599.2, 3574.46, 3394.15, 3987.44, 3596.33]"
