metric,increment,resource,mean,stddev,data_points
latency_90,0,cpu,1245.1333333333334,79.719396775328292,"[1190.0, 1240.0, 1096.0, 1184.0, 1157.0, 1241.0, 1266.0, 1215.0, 1354.0, 1204.0, 1278.0, 1250.0, 1230.0, 1422.0, 1350.0]"
latency_90,0,disk,1245.1333333333334,79.719396775328292,"[1190.0, 1240.0, 1096.0, 1184.0, 1157.0, 1241.0, 1266.0, 1215.0, 1354.0, 1204.0, 1278.0, 1250.0, 1230.0, 1422.0, 1350.0]"
latency_90,0,network,1245.1333333333334,79.719396775328292,"[1190.0, 1240.0, 1096.0, 1184.0, 1157.0, 1241.0, 1266.0, 1215.0, 1354.0, 1204.0, 1278.0, 1250.0, 1230.0, 1422.0, 1350.0]"
latency_90,20,cpu,1663.2857142857142,57.210674043309403,"[1729.0, 1654.0, 1656.0, 1557.0, 1665.0, 1744.0, 1638.0]"
latency_90,20,disk,1268.8571428571429,85.368827652099554,"[1397.0, 1360.0, 1169.0, 1333.0, 1207.0, 1186.0, 1230.0]"
latency_90,20,network,1263.2857142857142,90.47448619948733,"[1242.0, 1205.0, 1143.0, 1436.0, 1344.0, 1212.0, 1261.0]"
latency_90,40,cpu,1936.7142857142858,64.410989048485206,"[2032.0, 1884.0, 2002.0, 1872.0, 1850.0, 1970.0, 1947.0]"
latency_90,40,disk,1298.7142857142858,54.512683414607501,"[1180.0, 1310.0, 1364.0, 1309.0, 1326.0, 1328.0, 1274.0]"
latency_90,40,network,1293.4285714285713,79.375881804518542,"[1358.0, 1356.0, 1190.0, 1376.0, 1330.0, 1281.0, 1163.0]"
latency_90,60,cpu,2445.2857142857142,101.50258868720582,"[2497.0, 2528.0, 2340.0, 2569.0, 2356.0, 2528.0, 2299.0]"
latency_90,60,disk,1312.4285714285713,57.400490647124371,"[1254.0, 1242.0, 1354.0, 1295.0, 1390.0, 1270.0, 1382.0]"
latency_90,60,network,1326.8571428571429,82.744751359533495,"[1450.0, 1208.0, 1233.0, 1424.0, 1335.0, 1309.0, 1329.0]"
latency_90,80,cpu,2996.7142857142858,122.64316914845078,"[2766.0, 3194.0, 3078.0, 2952.0, 2984.0, 2955.0, 3048.0]"
latency_90,80,disk,1289.4285714285713,98.627520272498188,"[1324.0, 1305.0, 1378.0, 1324.0, 1400.0, 1198.0, 1097.0]"
latency_90,80,network,1286.5714285714287,98.928339349908285,"[1118.0, 1274.0, 1243.0, 1219.0, 1344.0, 1368.0, 1440.0]"
latency,0,cpu,380865.29999999999,8263.5795206032435,"[390014.5, 381532.0, 367844.0, 368183.0, 384758.5, 379355.0, 386185.0, 378747.5, 382576.5, 378947.5, 384971.0, 367750.0, 376214.5, 397967.0, 387933.5]"
