SERVICE,RESOURCE,AMOUNT,REPR
elasticsearch:2.4,CPU-QUOTA,46.0,RAW
kibana:4,NET,83626.5,RAW
library/postgres,CPU-QUOTA,46.0,RAW
mysql:5,NET,83626.5,RAW
mysql:5,CPU-QUOTA,69.0,RAW
tsaianson/node-apt-app,NET,250879.5,RAW
haproxy:1.7,CPU-QUOTA,46.0,RAW
osalpekar/spark-image-compress...,NET,167253.0,RAW
elasticsearch:2.4,DISK,8685704.5,RAW
mysql:5.6.32,NET,167253.0,RAW
hantaowang/logstash-postgres,CPU-QUOTA,46.0,RAW
kibana:4,DISK,26057113.5,RAW
mysql:5,DISK,26057113.5,RAW
library/postgres,DISK,8685704.5,RAW
library/postgres:9.4,NET,167253.0,RAW
osalpekar/spark-image-compress...,DISK,17371409.0,RAW
mysql:5.6.32,DISK,17371409.0,RAW
tsaianson/node-apt-app,CPU-QUOTA,46.0,RAW
library/postgres,NET,250879.5,RAW
library/postgres:9.4,DISK,17371409.0,RAW
haproxy:1.7,NET,250879.5,RAW
hantaowang/logstash-postgres,NET,250879.5,RAW
mysql:5.6.32,CPU-QUOTA,46.0,RAW
osalpekar/spark-image-compress...,CPU-QUOTA,23.0,RAW
library/postgres:9.4,CPU-QUOTA,46.0,RAW
haproxy:1.7,DISK,8685704.5,RAW
hantaowang/logstash-postgres,DISK,8685704.5,RAW
tsaianson/node-apt-app,DISK,8685704.5,RAW
kibana:4,CPU-QUOTA,69.0,RAW
elasticsearch:2.4,NET,250879.5,RAW
