iteration,l0,l25,l50,l75,l90,l99,l100
10,14.985,271.168,537.493,733.964,946.121,1329.277,1400.356
10,28.636,437.583,637.853,805.372,930.075,1085.03,1120.77
10,21.853,188.479,620.194,822.854,1150.889,1581.705,1692.141
10,16.925,200.716,436.125,859.965,1133.704,1246.699,1255.073
10,25.383,294.245,603.47,788.642,1199.793,1862.627,1870.717
11,83.722,409.846,667.03,877.291,1022.677,1322.901,1474.456
11,19.348,308.939,626.485,878.645,1028.889,1315.94,1475.407
11,41.86,200.88,666.966,880.025,1019.605,1316.293,1482.752
11,23.584,255.726,562.03,837.902,957.111,1465.391,1583.24
11,29.199,327.267,626.238,877.395,989.514,1337.938,1575.012
11,24.178,319.043,649.562,826.404,974.47,1330.313,1446.854
11,18.198,343.283,701.338,866.281,980.069,1155.475,1252.396
11,38.088,169.732,577.734,924.789,1119.086,1535.229,1616.403
11,22.991,336.427,625.629,873.737,1058.565,1349.809,1464.278
11,36.661,378.273,619.233,815.152,941.253,1198.692,1260.908
12,48.897,392.377,635.138,901.564,1150.991,1469.374,1515.758
12,24.041,528.402,723.819,893.903,1037.745,1207.233,1267.316
12,18.147,439.855,746.64,959.961,1183.204,1734.938,1891.102
12,25.212,468.155,751.084,921.307,1085.856,1316.519,1335.868
12,25.887,427.12,685.766,959.154,1271.804,1712.13,1832.014
12,17.955,425.243,635.416,890.072,1004.795,1377.144,1455.405
12,37.29,433.74,647.193,916.965,1064.81,1295.583,1465.601
12,27.127,458.81,614.655,809.721,978.834,1200.319,1259.523
12,23.76,470.461,630.379,822.794,982.016,1202.494,1296.321
12,16.739,502.924,713.566,916.501,1085.275,1392.881,1513.879
13,158.529,435.679,681.736,1011.083,1250.86,1649.83,1746.934
13,16.094,426.976,665.153,858.561,1012.927,1358.624,1408.031
13,47.269,479.341,671.309,949.913,1166.248,1366.414,1383.103
13,20.24,452.437,614.103,802.873,993.225,1248.61,1320.097
13,24.416,502.933,706.321,915.784,1052.459,1463.573,1514.423
13,37.674,441.859,675.402,897.384,1116.047,1544.844,1828.262
13,20.231,478.115,704.432,898.834,1000.382,1309.773,1344.932
13,19.284,411.317,668.608,889.383,1134.802,1427.374,1640.158
13,27.652,540.65,733.865,967.279,1163.114,1499.639,1545.524
13,15.534,487.99,674.522,880.584,1083.265,1274.548,1354.051
14,203.972,588.987,812.145,1089.807,1380.334,2128.159,2176.656
14,25.926,486.175,698.669,935.925,1096.882,1285.833,1305.536
14,42.725,472.772,665.994,924.72,1117.212,1543.645,1576.901
14,15.149,681.382,907.414,1188.799,1494.411,1815.574,1859.288
14,50.074,519.116,716.976,852.282,973.638,1141.364,1155.962
14,58.718,530.732,716.902,879.339,1049.833,1305.378,1364.186
14,15.768,543.55,797.401,1015.862,1200.823,1447.359,1546.47
14,43.104,506.661,766.872,1004.512,1239.339,1587.433,1846.503
14,13.135,506.061,815.115,981.551,1142.144,1372.009,1508.514
14,16.221,555.725,796.958,1001.819,1215.803,1457.353,1576.112
15,61.655,365.295,772.639,983.491,1204.853,1437.594,1542.441
15,18.476,493.837,749.207,888.471,1054.577,1297.375,1356.274
15,29.102,524.36,758.942,900.352,1055.658,1291.49,1296.078
15,44.451,567.122,718.813,885.426,1116.747,1573.476,1611.952
15,33.908,489.657,711.957,877.457,1049.802,1403.11,1472.914
15,28.518,519.065,726.74,940.326,1243.559,1613.286,1694.235
15,26.821,439.976,728.688,924.707,1073.546,1279.956,1338.549
15,39.462,518.459,746.542,912.209,1083.251,1400.189,1406.272
15,14.97,507.297,744.851,924.074,1049.084,1365.404,1395.038
15,36.32,561.632,733.544,875.081,994.79,1206.692,1365.094
16,25.506,607.235,829.87,990.601,1157.033,1463.728,1699.045
16,23.033,507.434,764.973,997.44,1225.543,1502.358,1517.715
16,20.276,536.407,807.14,989.434,1151.374,1393.133,1482.518
16,28.784,529.795,754.555,957.58,1097.347,1441.424,1470.429
16,22.194,521.809,744.448,878.777,1013.244,1236.645,1280.404
16,5.652,490.878,721.262,852.321,994.218,1252.978,1324.37
16,24.525,506.598,748.463,944.535,1128.944,1418.642,1461.376
16,36.78,529.689,758.523,949.3,1155.139,1505.765,1544.889
16,20.429,622.47,780.428,977.834,1123.444,1426.474,1601.715
16,28.373,496.82,764.907,942.915,1100.945,1311.331,1354.685
17,108.789,511.711,746.072,1039.516,1388.208,1957.711,2060.517
17,34.509,454.654,674.034,832.72,950.102,1221.623,1249.552
17,32.919,500.585,751.255,966.931,1120.877,1431.54,1455.887
17,23.87,536.236,725.158,881.011,1048.397,1315.382,1362.682
17,18.785,470.828,761.846,994.878,1183.449,1559.586,1721.908
17,38.63,545.911,727.287,952.933,1074.947,1369.363,1396.557
17,25.556,509.615,753.166,914.628,1072.811,1395.201,1402.247
17,41.527,491.227,723.699,888.288,1047.774,1273.95,1282.047
17,26.353,504.796,765.366,967.612,1179.306,1571.441,1634.12
17,15.595,493.353,701.59,881.85,1156.962,1423.617,1491.765
18,25.38,516.18,784.943,986.394,1162.654,1468.486,1487.195
18,21.369,478.347,745.071,977.954,1157.027,1576.422,1710.077
18,14.807,536.151,785.487,955.776,1094.211,1330.811,1670.625
18,18.781,531.835,796.07,967.875,1142.274,1388.723,1485.341
18,19.855,524.866,724.584,936.503,1177.403,1410.331,1480.06
18,15.053,535.579,727.99,870.83,1008.574,1503.142,1551.275
18,19.922,523.976,769.243,958.722,1101.437,1382.529,1566.608
18,36.989,522.937,721.215,863.438,1021.913,1250.147,1460.477
18,31.747,534.667,767.124,935.652,1062.581,1256.214,1306.075
18,17.733,493.184,734.253,933.576,1093.894,1432.041,1439.863
19,20.083,378.988,710.858,1133.267,1425.343,1770.035,2004.688
19,18.542,564.412,745.418,925.936,1081.73,1483.613,1606.892
19,43.301,559.274,766.089,913.884,1066.801,1371.508,1395.492
19,38.071,515.36,781.275,959.498,1107.525,1346.217,1364.949
19,25.194,523.42,752.179,942.846,1109.858,1344.618,1397.83
19,33.66,534.418,733.246,936.579,1205.756,1634.794,1788.829
19,21.162,511.658,741.587,911.598,1077.926,1314.588,1343.992
19,19.759,532.081,811.376,972.009,1091.266,1299.414,1388.833
19,42.952,491.285,723.614,971.919,1120.164,1349.168,1612.469
19,20.889,516.857,713.595,849.83,1001.823,1287.183,1316.71
20,26.404,375.768,738.143,1021.209,1227.204,1570.088,1691.075
20,17.697,503.654,779.935,961.438,1134.284,1431.104,1459.594
20,29.478,507.628,743.622,920.045,1152.623,1542.377,1601.94
20,15.006,555.025,838.044,1019.493,1168.329,1465.759,1499.8
20,49.891,498.795,710.447,903.361,1092.005,1350.245,1497.647
20,21.406,554.49,763.298,959.232,1124.626,1412.023,1528.733
20,46.602,546.024,777.068,1006.046,1130.28,1357.814,1432.772
20,44.987,533.935,798.882,964.557,1059.564,1334.221,1426.426
20,31.353,569.786,770.686,926.36,1068.014,1218.839,1380.605
20,19.169,502.175,729.357,956.627,1125.946,1490.919,1574.227
21,84.679,611.885,837.142,1002.603,1151.863,1378.613,1466.018
21,18.443,541.679,846.468,1027.551,1080.252,1156.111,1224.547
21,27.009,493.98,732.318,920.646,1082.469,1257.137,1328.516
21,28.597,600.236,776.639,969.715,1075.702,1358.193,1473.539
21,9.748,548.798,781.344,989.3,1057.023,1303.701,1432.512
21,16.749,518.713,741.828,931.408,1054.171,1522.912,1592.425
21,15.549,475.49,738.129,977.901,1132.673,1415.6,1468.183
21,19.775,485.929,688.658,877.551,1098.3,1361.319,1515.775
21,20.776,514.863,751.754,952.294,1105.12,1378.166,1545.091
21,47.065,539.477,745.291,900.743,1054.868,1370.904,1427.461
22,117.439,540.38,724.374,1116.162,1538.955,2311.249,2337.354
22,23.742,511.888,748.984,965.73,1115.874,1558.73,1597.478
22,24.807,498.136,718.172,849.445,996.613,1276.69,1319.755
22,18.492,483.188,742.721,899.906,1032.151,1268.438,1320.184
22,23.419,491.288,757.659,925.855,1090.715,1473.397,1597.748
22,23.94,510.96,777.821,975.626,1098.517,1452.8,1502.042
22,31.443,380.128,658.914,927.588,1283.548,1629.481,1740.653
22,23.595,536.348,774.339,984.329,1130.357,1364.51,1413.339
22,20.387,634.483,832.264,1037.659,1208.5,1620.547,1684.016
22,15.38,516.735,765.101,938.032,1061.591,1326.263,1376.06
23,61.623,577.994,799.91,995.143,1107.512,1342.778,1375.321
23,24.612,511.931,748.438,905.791,1034.119,1282.173,1310.75
23,5.001,454.711,742.139,972.024,1153.15,1568.294,1808.953
23,19.68,403.134,685.622,900.942,1081.972,1328.163,1488.472
23,17.85,502.054,706.676,882.198,1067.259,1280.195,1376.075
23,29.118,530.628,788.753,983.635,1110.321,1392.27,1441.424
23,15.466,498.027,797.819,1012.487,1204.382,1483.159,1561.988
23,29.336,595.973,748.475,890.926,1066.877,1371.668,1402.711
23,15.73,495.01,708.607,896.716,1101.682,1283.326,1339.73
23,23.372,521.044,772.109,966.404,1114.567,1354.945,1373.152
24,125.245,476.615,819.979,1140.352,1452.357,2005.281,2052.207
24,20.497,511.395,700.929,865.7,1060.254,1471.482,1589.297
24,15.419,559.263,773.878,1026.163,1194.77,1415.449,1446.941
24,28.812,313.006,669.762,1017.229,1289.915,1811.367,1923.255
24,28.042,554.542,768.591,970.601,1096.774,1400.47,1431.563
24,19.257,562.865,744.687,921.984,1051.472,1324.886,1462.174
24,24.0,529.077,745.766,939.286,1200.327,1556.85,1786.508
24,26.741,536.747,761.04,945.685,1100.099,1352.807,1434.48
24,30.052,548.186,716.788,917.867,1150.73,1408.523,1507.449
24,21.897,485.688,731.5,902.429,1101.497,1401.075,1471.348
25,55.854,494.596,770.411,951.293,1104.659,1500.345,1525.106
25,62.883,518.279,706.723,911.694,1089.727,1462.612,1504.926
25,18.575,504.17,717.355,881.731,1027.856,1296.201,1371.534
25,28.73,484.363,731.282,940.748,1113.097,1398.287,1456.46
25,23.106,473.898,750.063,936.798,1121.715,1425.318,1469.248
25,25.476,498.74,742.535,964.003,1226.226,1744.871,1769.271
25,23.875,487.149,731.919,925.442,1058.443,1298.961,1381.703
25,18.806,539.878,739.472,915.986,1060.98,1254.43,1406.445
25,20.424,506.648,714.672,934.097,1150.971,1339.916,1379.504
25,15.258,466.531,727.779,926.691,1053.881,1264.933,1356.97
26,102.779,372.766,654.996,1108.233,1636.632,2375.941,2413.716
26,20.305,510.185,714.243,869.338,1040.62,1427.149,1605.075
26,44.343,355.83,797.603,1078.913,1311.361,1720.84,2100.88
26,34.962,522.635,755.719,899.64,1042.266,1240.183,1394.334
26,33.523,500.332,700.215,829.916,1058.455,1292.913,1324.645
26,22.679,502.82,703.468,913.368,1103.836,1499.117,1531.437
26,42.235,490.465,710.983,927.433,1104.492,1351.348,1512.372
26,19.125,478.24,716.718,903.088,1036.24,1292.917,1298.419
26,20.382,561.244,734.489,853.847,978.301,1164.306,1184.793
